"Start","Stop","Length","Frame"
10804,11271,468,1
15583,16137,555,1
17134,17535,402,1
18220,18603,384,1
19009,19308,300,1
48727,49026,300,1
69091,70008,918,1
88165,88869,705,1
90553,90900,348,1
131158,131505,348,1
135622,136317,696,1
137311,137775,465,1
170377,170853,477,1
188743,189126,384,1
189532,189831,300,1
191461,191817,357,1
205219,205593,375,1
272539,272916,378,1
367075,367842,768,1
373666,374196,531,1
378517,379008,492,1
381295,381972,678,1
406396,406773,378,1
438949,439353,405,1
442582,442941,360,1
444643,444966,324,1
491605,492300,696,1
501109,501516,408,1
592195,592632,438,1
596212,596883,672,1
601783,602514,732,1
605080,605670,591,1
606112,606726,615,1
609481,611034,1554,1
634420,634824,405,1
656908,657210,303,1
706573,707082,510,1
722671,723135,465,1
755689,756042,354,1
773242,773559,318,1
789349,789648,300,1
789784,790128,345,1
817510,817989,480,1
819799,820554,756,1
821713,822192,480,1
822613,823128,516,1
860599,860952,354,1
866179,866595,417,1
875260,875604,345,1
875686,876537,852,1
884059,884379,321,1
895591,895962,372,1
906457,907128,672,1
908773,910041,1269,1
910114,910461,348,1
911455,911805,351,1
916180,916644,465,1
918577,918903,327,1
919633,919962,330,1
921019,921366,348,1
922786,923142,357,1
927685,928206,522,1
929761,930252,492,1
932605,932952,348,1
935830,936249,420,1
940735,941100,366,1
943273,943611,339,1
945430,945765,336,1
947785,948096,312,1
948406,948960,555,1
950182,950655,474,1
950695,951261,567,1
952642,952953,312,1
955516,955977,462,1
957931,958251,321,1
958915,959679,765,1
962515,963006,492,1
964609,964974,366,1
966208,966618,411,1
969457,969918,462,1
976576,978462,1887,1
979957,980733,777,1
993433,993780,348,1
994279,994806,528,1
996310,996948,639,1
998140,998442,303,1
999037,999426,390,1
1000267,1000629,363,1
1006189,1006623,435,1
1010668,1011114,447,1
1015303,1015656,354,1
1018336,1018779,444,1
1020262,1020804,543,1
1023730,1024101,372,1
1025638,1026006,369,1
1033156,1034421,1266,1
1037053,1037415,363,1
1037749,1038096,348,1
1039777,1040223,447,1
1040932,1041525,594,1
1042231,1042695,465,1
1047670,1048113,444,1
1051372,1051773,402,1
1052128,1052772,645,1
1053019,1053396,378,1
1054534,1055046,513,1
1056547,1056927,381,1
1061659,1062264,606,1
1064704,1065324,621,1
1067620,1068909,1290,1
1073956,1075695,1740,1
1077166,1078290,1125,1
1078306,1078830,525,1
1078846,1079451,606,1
1081465,1081830,366,1
1082662,1082991,330,1
1084420,1085007,588,1
1103467,1103964,498,1
1108165,1109157,993,1
1118023,1118388,366,1
1121503,1121811,309,1
1121848,1123125,1278,1
1123138,1123494,357,1
1125631,1126020,390,1
1127545,1127910,366,1
1128352,1128669,318,1
1132069,1132428,360,1
1136254,1136553,300,1
1136893,1137621,729,1
1141672,1142247,576,1
1142743,1143156,414,1
1145569,1146063,495,1
1146064,1146411,348,1
1148755,1149168,414,1
1149670,1149999,330,1
1151149,1151598,450,1
1151635,1151961,327,1
1155961,1156344,384,1
1157155,1157664,510,1
1159369,1159755,387,1
1161943,1162278,336,1
1166791,1167162,372,1
1168603,1169070,468,1
1169161,1169619,459,1
1169818,1170132,315,1
1174411,1174731,321,1
1181548,1182057,510,1
1182073,1182444,372,1
1188400,1188765,366,1
1191361,1191783,423,1
1192363,1193163,801,1
1204069,1204803,735,1
1209031,1209453,423,1
1211878,1212207,330,1
1222138,1222512,375,1
1223611,1224495,885,1
1228477,1228974,498,1
1229896,1230207,312,1
1238734,1239738,1005,1
1246744,1247064,321,1
1248157,1248477,321,1
1257523,1257990,468,1
1258999,1259490,492,1
1265446,1265769,324,1
1267675,1268649,975,1
1274743,1275114,372,1
1279093,1279422,330,1
1280788,1281126,339,1
1281202,1281618,417,1
1284970,1285515,546,1
1286056,1286418,363,1
1287379,1287840,462,1
1290301,1291374,1074,1
1296961,1298106,1146,1
1302988,1303305,318,1
1303570,1304223,654,1
1305457,1305786,330,1
1307137,1307772,636,1
1307929,1308333,405,1
1310587,1311075,489,1
1312450,1313775,1326,1
1318828,1319265,438,1
1321012,1321347,336,1
1325734,1326069,336,1
1326070,1326396,327,1
1328191,1328856,666,1
1329313,1329744,432,1
1329760,1330386,627,1
1330927,1331229,303,1
1333594,1334430,837,1
1340752,1341336,585,1
1341355,1342320,966,1
1344835,1345512,678,1
1351453,1351773,321,1
1353421,1353828,408,1
1355299,1356048,750,1
1356157,1356498,342,1
1358503,1358814,312,1
1369342,1369773,432,1
1371967,1372392,426,1
1372435,1372764,330,1
1383973,1384272,300,1
1384831,1385136,306,1
1393033,1393443,411,1
1419379,1419735,357,1
1421734,1422201,468,1
1425685,1426131,447,1
1431214,1431768,555,1
1433233,1433592,360,1
1435054,1435782,729,1
1436959,1437519,561,1
1439086,1439787,702,1
1441522,1441833,312,1
1444723,1445097,375,1
1454107,1454478,372,1
1460887,1461318,432,1
1467088,1467696,609,1
1468027,1468383,357,1
1471885,1472523,639,1
1477210,1477566,357,1
1478500,1478952,453,1
1479205,1479744,540,1
1479928,1480245,318,1
1480927,1481232,306,1
1486687,1487034,348,1
1494391,1494699,309,1
1496641,1497015,375,1
1507909,1508517,609,1
1508845,1509204,360,1
1517167,1517619,453,1
1518439,1519413,975,1
1519990,1520310,321,1
1526653,1527078,426,1
1529077,1529598,522,1
1534432,1534761,330,1
1535791,1536096,306,1
1537636,1538133,498,1
1538455,1538880,426,1
1539505,1539912,408,1
