"Start","Stop","Length","Frame"
10450,10899,450,1
26194,26505,312,1
98491,98808,318,1
105547,106008,462,1
108385,109068,684,1
130939,131313,375,1
171901,172263,363,1
201739,202167,429,1
264097,264489,393,1
297871,298218,348,1
317074,317499,426,1
326398,326706,309,1
351745,352086,342,1
403438,403770,333,1
472222,472539,318,1
526663,526977,315,1
571147,571542,396,1
759076,759375,300,1
807943,808320,378,1
866173,866493,321,1
897220,897567,348,1
985480,985785,306,1
1031416,1031763,348,1
1080220,1080525,306,1
1131838,1132197,360,1
1194274,1194594,321,1
1206238,1206606,369,1
1235371,1235766,396,1
1248814,1249143,330,1
1255192,1255536,345,1
1277320,1277637,318,1
1306723,1307268,546,1
1356367,1356741,375,1
1375861,1376208,348,1
1433668,1433973,306,1
1448542,1448853,312,1
1489126,1489536,411,1
1497790,1498113,324,1
1522465,1522860,396,1
1581808,1582362,555,1
1593028,1593348,321,1
1601815,1602132,318,1
1629706,1630113,408,1
1640017,1640322,306,1
1655527,1655961,435,1
1677739,1678047,309,1
1711726,1712376,651,1
1737493,1737810,318,1
1772989,1773336,348,1
1799401,1799868,468,1
1864891,1865256,366,1
1877611,1878072,462,1
1925425,1925745,321,1
1927570,1927881,312,1
1939801,1940115,315,1
1942381,1942707,327,1
1968925,1969428,504,1
2024611,2025072,462,1
2082430,2082771,342,1
2094262,2094570,309,1
2125024,2125506,483,1
2130379,2130993,615,1
2170384,2170788,405,1
2207068,2207397,330,1
2233093,2233422,330,1
2326324,2326641,318,1
2350237,2350803,567,1
2373619,2373939,321,1
2429017,2429340,324,1
2541523,2541897,375,1
2671822,2672139,318,1
2734480,2735139,660,1
2782945,2784297,1353,1
2787736,2788122,387,1
2847172,2847486,315,1
2865127,2865528,402,1
2929645,2929947,303,1
2963953,2964693,741,1
2970358,2970705,348,1
3178738,3179142,405,1
3195634,3196044,411,1
3267613,3268086,474,1
3384241,3384651,411,1
3411268,3411621,354,1
3423784,3424122,339,1
3524284,3524592,309,1
3572779,3573129,351,1
3577804,3578256,453,1
3594337,3594750,414,1
3604900,3605364,465,1
3620113,3620418,306,1
3627448,3627852,405,1
3672880,3673206,327,1
3685819,3686361,543,1
3718657,3719019,363,1
3728335,3728646,312,1
3843883,3844245,363,1
3921658,3921981,324,1
3991039,3991362,324,1
4038970,4039302,333,1
4081144,4081509,366,1
4167661,4168014,354,1
4173577,4173939,363,1
4212295,4212600,306,1
4240018,4240320,303,1
4284811,4285110,300,1
4313020,4313451,432,1
4369342,4369833,492,1
4428901,4429239,339,1
4554388,4554753,366,1
4561351,4561845,495,1
4562497,4563042,546,1
4585042,4585485,444,1
4664308,4664646,339,1
4667794,4668201,408,1
4670041,4670358,318,1
4687552,4687905,354,1
4710010,4710345,336,1
4760998,4761315,318,1
4787719,4788126,408,1
4799425,4799937,513,1
